"month","year","SPI_rainfall.fitted"
"Enero","2020",-0.771446919404909
"Febrero","2020",NA
"Marzo","2020",-1.2138997752042
"Abril","2020",-1.25823080647136
"Mayo","2020",-0.655253042229486
"Junio","2020",1.02935737125806
"Julio","2020",1.33578435588039
"Agosto","2020",0.265920761703412
"Septiembre","2020",-0.400530394420375
"Octubre","2020",-1.19331114337983
"Noviembre","2020",-1.22287239696592
"Diciembre","2020",-0.890589736854183
"Enero","2021",0.573192904433138
"Febrero","2021",NA
"Marzo","2021",0.864172667064847
"Abril","2021",-0.492569950799384
"Mayo","2021",0.0686693455721885
"Junio","2021",-0.729428123823267
"Julio","2021",-0.275534472311525
"Agosto","2021",0.0759099849776435
"Septiembre","2021",0.642056427803939
"Octubre","2021",0.0458789801564318
"Noviembre","2021",-0.169256132552944
"Diciembre","2021",1.03629603737728
"Enero","2022",1.14752570102336
"Febrero","2022",NA
"Marzo","2022",0.901628609617969
"Abril","2022",0.227605245415453
"Mayo","2022",0.513560891287921
"Junio","2022",NA
"Julio","2022",-1.17559156647081
"Agosto","2022",0.514846994139811
"Septiembre","2022",0.318401527912707
"Octubre","2022",0.0620840353236834
"Noviembre","2022",0.900627389651178
"Diciembre","2022",0.929979544610918
