,nombre,sim_config,avg,prod,expected_volume,nominal_diff,relative_diff,tipo_agricultor,tipo_feriante,tipo_consumidor,abs_error,abs_percentage_error
0,Ajo,sim_config_1.json,3930990.0,Ajo,2220500.0,1710490.0,0.7703174960594461,simple,static,single,1710490.0,0.7703174960594461
1,Alcachofa,sim_config_1.json,5109285.0,Alcachofa,196915.38461538462,4912369.615384615,24.946601429743346,simple,static,single,4912369.615384615,24.946601429743346
2,Apio,sim_config_1.json,1587351.5999999999,Apio,450000.0,1137351.5999999999,2.5274479999999997,simple,static,single,1137351.5999999999,2.5274479999999997
3,Arveja Verde,sim_config_1.json,438650.25,Arveja Verde,116750.0,321900.25,2.7571755888650964,simple,static,single,321900.25,2.7571755888650964
4,Brócoli,sim_config_1.json,13137692.5,Brócoli,4899440.0,8238252.5,1.6814681882011004,simple,static,single,8238252.5,1.6814681882011004
5,Choclo,sim_config_1.json,5232254.166666667,Choclo,17291000.0,-12058745.833333332,-0.6974001407283171,simple,static,single,12058745.833333332,0.6974001407283171
6,Coliflor,sim_config_1.json,3914880.0,Coliflor,4880610.0,-965730.0,-0.19787075795853387,simple,static,single,965730.0,0.19787075795853387
7,Espinaca,sim_config_1.json,2242167.825,Espinaca,1166600.0,1075567.8250000002,0.9219679624549976,simple,static,single,1075567.8250000002,0.9219679624549976
8,Frutilla,sim_config_1.json,7168761.25,Frutilla,1703043.0,5465718.25,3.2093835857344764,simple,static,single,5465718.25,3.2093835857344764
9,Haba,sim_config_1.json,656259.0,Haba,1008923.0769230769,-352664.0769230769,-0.3495450594693504,simple,static,single,352664.0769230769,0.3495450594693504
10,Lechuga,sim_config_1.json,2106039.9999999995,Lechuga,1009980.0,1096059.9999999995,1.0852294104833755,simple,static,single,1096059.9999999995,1.0852294104833755
11,Melón,sim_config_1.json,11730408.333333334,Melón,118738.46153846153,11611669.871794872,97.79198518614496,simple,static,single,11611669.871794872,97.79198518614496
12,Pepino ensalada,sim_config_1.json,1288850.0,Pepino ensalada,698600.0,590250.0,0.8449040939020899,simple,static,single,590250.0,0.8449040939020899
13,Poroto granado,sim_config_1.json,2706155.65,Poroto granado,795361.5384615385,1910794.1115384614,2.4024220673713934,simple,static,single,1910794.1115384614,2.4024220673713934
14,Poroto verde,sim_config_1.json,1933530.133333333,Poroto verde,145250.0,1788280.133333333,12.31173930005737,simple,static,single,1788280.133333333,12.31173930005737
15,Repollo,sim_config_1.json,257742.5,Repollo,10900.0,246842.5,22.64610091743119,simple,static,single,246842.5,22.64610091743119
16,Sandia,sim_config_1.json,2017517.5,Sandia,85578.46153846153,1931939.0384615385,22.5750615719268,simple,static,single,1931939.0384615385,22.5750615719268
17,Tomate,sim_config_1.json,10985130.0,Tomate,4598640.0,6386490.0,1.3887779865351495,simple,static,single,6386490.0,1.3887779865351495
18,Zanahoria,sim_config_1.json,4119751.9499999997,Zanahoria,3576960.0,542791.9499999997,0.15174672067901226,simple,static,single,542791.9499999997,0.15174672067901226
19,Zapallo italiano,sim_config_1.json,7710300.0,Zapallo italiano,2927400.0,4782900.0,1.6338389014142243,simple,static,single,4782900.0,1.6338389014142243
20,Ajo,sim_config_10.json,0.0,Ajo,2220500.0,-2220500.0,-1.0,ganancia,seasonal-proportional,single,2220500.0,1.0
21,Alcachofa,sim_config_10.json,0.0,Alcachofa,196915.38461538462,-196915.38461538462,-1.0,ganancia,seasonal-proportional,single,196915.38461538462,1.0
22,Apio,sim_config_10.json,2067171.0,Apio,450000.0,1617171.0,3.5937133333333335,ganancia,seasonal-proportional,single,1617171.0,3.5937133333333335
23,Arveja Verde,sim_config_10.json,0.0,Arveja Verde,116750.0,-116750.0,-1.0,ganancia,seasonal-proportional,single,116750.0,1.0
24,Brócoli,sim_config_10.json,0.0,Brócoli,4899440.0,-4899440.0,-1.0,ganancia,seasonal-proportional,single,4899440.0,1.0
25,Choclo,sim_config_10.json,0.0,Choclo,17291000.0,-17291000.0,-1.0,ganancia,seasonal-proportional,single,17291000.0,1.0
26,Coliflor,sim_config_10.json,0.0,Coliflor,4880610.0,-4880610.0,-1.0,ganancia,seasonal-proportional,single,4880610.0,1.0
27,Espinaca,sim_config_10.json,0.0,Espinaca,1166600.0,-1166600.0,-1.0,ganancia,seasonal-proportional,single,1166600.0,1.0
28,Frutilla,sim_config_10.json,19514775.0,Frutilla,1703043.0,17811732.0,10.45876821665689,ganancia,seasonal-proportional,single,17811732.0,10.45876821665689
29,Haba,sim_config_10.json,0.0,Haba,1008923.0769230769,-1008923.0769230769,-1.0,ganancia,seasonal-proportional,single,1008923.0769230769,1.0
30,Lechuga,sim_config_10.json,0.0,Lechuga,1009980.0,-1009980.0,-1.0,ganancia,seasonal-proportional,single,1009980.0,1.0
31,Melón,sim_config_10.json,0.0,Melón,118738.46153846153,-118738.46153846153,-1.0,ganancia,seasonal-proportional,single,118738.46153846153,1.0
32,Pepino ensalada,sim_config_10.json,0.0,Pepino ensalada,698600.0,-698600.0,-1.0,ganancia,seasonal-proportional,single,698600.0,1.0
33,Poroto granado,sim_config_10.json,0.0,Poroto granado,795361.5384615385,-795361.5384615385,-1.0,ganancia,seasonal-proportional,single,795361.5384615385,1.0
34,Poroto verde,sim_config_10.json,0.0,Poroto verde,145250.0,-145250.0,-1.0,ganancia,seasonal-proportional,single,145250.0,1.0
35,Repollo,sim_config_10.json,0.0,Repollo,10900.0,-10900.0,-1.0,ganancia,seasonal-proportional,single,10900.0,1.0
36,Sandia,sim_config_10.json,0.0,Sandia,85578.46153846153,-85578.46153846153,-1.0,ganancia,seasonal-proportional,single,85578.46153846153,1.0
37,Tomate,sim_config_10.json,0.0,Tomate,4598640.0,-4598640.0,-1.0,ganancia,seasonal-proportional,single,4598640.0,1.0
38,Zanahoria,sim_config_10.json,0.0,Zanahoria,3576960.0,-3576960.0,-1.0,ganancia,seasonal-proportional,single,3576960.0,1.0
